FranjaHoraria;Dia;Malo;PrimerCredito;MedioOrigen;Sexo;Edad;EstadoCivil;Region;TipoConvenio;RubroLaboral;DeudaTC;DeudaTC_cat;AtrasoTC;LimiteUtilizadoTC;EstadoCuentaTC;CantAtraso1mTC;CantAtraso3mTC;MaximoAtrasoTC;TieneTC;CapitalPrestado;Cuotas;MontoCuota;MontoTotal;ProgramaFidelidad;PeorCalificacionBCU;PeorCalificacionBCU_cat;MejorCalificacionBCU;MejorCalificacionBCU_cat;PromedioCalificacionBCU;DeudaVigenteBCU;ContingenciasBCU;PrevisionesBCU;DeudaMorosaBCU;DeudaCastigadaBCU;CantidadInstitucionesBCU;FueDenegadoAnteriormente;DiasUltDenegacion;ContOutBoundCobranza;ContactosInBound;DeudaCreditos;CantCredAtraso0;CantCredAtrasoMedio;CantCredAtrasoMayor;CantCuotasAtraso;CantCuotasAbiertas;MontoCreditosAbiertos;MontoAPagarMensual
Horas-Trabajo;Miércoles;0;Nuevo;Web;Hombre;45;Casado;Sin Identificar;Sin Convenio;Otros;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;1854,126536;7;392,7766591;2749,43557;0;5;Otros;5;Otros;6;0;0;0;0;3212,860591;1;1;1073;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Miércoles;1;Renovacion;Web;Mujer;41;Soltero;Canelones;Sin Convenio;Educacion;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;10;466,3875706;4663,874524;0;5;Otros;3;Otros;5;19048,51962;0;5426,581063;2188,332844;0;2;1;381;0;5;0;0;0;0;0;0;0;0
Horas-Casa;Miércoles;0;Nuevo;Web;Hombre;62;Casado;Sin Identificar;Sin Convenio;JubiladosYPensionistas;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;11;441,3664249;4855,030335;0;5;Otros;5;Otros;6;0;0;0;0;45777,70742;3;1;6;0;0;0;0;0;0;0;0;0;0
Horas-Casa;Miércoles;0;Nuevo;Web;Mujer;59;Casado;MVDNoroeste;Sin Convenio;Otros;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;1854,126536;11;297,3083526;3270,39182;0;5;Otros;3;Otros;5;57865,30296;26,75736357;14913,05261;5253,899306;3412,770197;4;0;0;0;0;0;0;0;0;0;0;0;0
Horas-Casa;Miércoles;0;Renovacion;Web;Mujer;44;Divorciado;Sin Identificar;Sin Convenio;ComerciosYAlojamientos;2258,511534;Con deudas;4358;0;Cancelada;0;0;0;1;1854,126536;9;334,2726522;3008,454729;0;2A;Otros;1C;1C;1;115888,7722;9714,825775;1145,833976;0;0;4;0;0;0;4;0;1;2;0;0;0;0;0
Horas-Casa;Miércoles;0;Nuevo;Web;Hombre;48;Casado;Sin Identificar;Sin Convenio;AdmYServDomestico;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2317,65817;11;369,3374171;4062,711077;0;2B;Otros;1C;1C;2;68620,82678;0;1145,864105;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0
Horas-Casa;Miércoles;0;Nuevo;Web;Hombre;36;Otros;Sin Identificar;Alianza;Otros;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;11;441,3664249;4855,030335;0;5;Otros;5;Otros;6;14,1284442;0;14610,50783;22647,166;0;4;0;0;0;1;0;0;0;0;0;0;0;0
Horas-Casa;Miércoles;1;Renovacion;Web;Hombre;30;Soltero;MVDNoroeste;Sin Convenio;PublicosYOngs;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2317,65817;11;369,3374171;4062,711077;0;1C;1C;1C;1C;1;100494,824;0;502,4752442;0;0;1;1;468;0;3;0;0;0;0;0;0;0;0
Horas-Casa;Miércoles;0;Nuevo;Web;Hombre;53;Casado;Sin Identificar;Sin Convenio;JubiladosYPensionistas;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;1854,126536;8;359,6636556;2877,310041;0;1C;1C;1C;1C;1;3153,658331;0;15,76702853;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Horas-Dormir;Jueves;0;Nuevo;Web;Hombre;39;Casado;Sin Identificar;Sin Convenio;Educacion;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;10;466,3875706;4663,874524;0;5;Otros;3;Otros;5;87700,30104;1195,030906;21581,08264;7097,169931;3686,960747;3;1;211;0;1;0;0;0;0;0;0;0;0
Horas-Dormir;Jueves;1;Nuevo;Web;Hombre;27;Casado;Sin Identificar;Sin Convenio;Otros;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;1390,594902;10;238,234805;2382,348645;0;5;Otros;5;Otros;6;0;0;2369,100911;2369,100911;3108,679539;2;1;250;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Jueves;0;Nuevo;Web;Hombre;52;Otros;MVDCentrosur;Sin Convenio;Otros;-961,9162116;Sin deudas;0;72,62;Activa;0;0;0;1;2317,65817;11;369,3374171;4062,711077;0;5;Otros;3;Otros;5;10648,73772;672,0490219;1893,434019;0;4285,431075;4;1;135;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Jueves;0;Nuevo;Web;Mujer;29;Otros;Sin Identificar;Sin Convenio;Otros;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2317,65817;11;369,3374171;4062,711077;0;2B;Otros;1C;1C;2;76026,03898;2770,227281;7697,978776;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Jueves;1;Nuevo;Web;Hombre;38;Casado;Sin Identificar;Sin Convenio;Otros;0;Sin deudas;0;108,65;Activa;0;0;0;1;1854,126536;7;392,7766591;2749,43557;0;1C;1C;1C;1C;1;9014,816525;3912,438757;123,4477448;0;0;4;1;105;0;1;0;0;0;0;0;0;0;0
Horas-Trabajo;Jueves;1;Nuevo;Web;Hombre;32;Casado;Sin Identificar;Alianza;PublicosYOngs;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2317,65817;10;390,3366393;3903,367443;0;5;Otros;3;Otros;5;50116,06685;0;8401,948904;0;601,8355677;2;1;302;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Jueves;1;Nuevo;Web;Hombre;32;Soltero;DptoSuroeste;Sin Convenio;Otros;1476,454867;Con deudas;0;87,05;Activa;0;0;0;1;2781,189804;11;441,3664249;4855,030335;0;1C;1C;1C;1C;1;10259,92275;563,274371;54,11500061;0;0;3;1;34;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Jueves;0;Nuevo;Web;Hombre;36;Otros;Sin Identificar;Sin Convenio;Construccion;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;1854,126536;7;392,7766591;2749,43557;0;2A;Otros;1C;1C;1;41088,62604;19096,7524;343,8871663;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0
Horas-Trabajo;Jueves;1;Nuevo;Web;Hombre;27;Casado;Sin Identificar;Sin Convenio;Otros;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;11;441,3664249;4855,030335;0;5;Otros;5;Otros;6;0;0;808,6309355;2080,856082;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Horas-Casa;Jueves;0;Nuevo;Web;Mujer;29;Casado;DptoSuroeste;Sin Convenio;PublicosYOngs;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2317,65817;7;488,4722614;3419,305993;0;5;Otros;3;Otros;5;84635,98611;229,9001022;15236,02755;1169,258547;1649,240919;6;1;624;0;0;0;0;0;0;0;0;0;0
Horas-Dormir;Viernes;1;Nuevo;Web;Hombre;35;Casado;Sin Identificar;Acuerdo Comercial;Industria;0;Sin deudas;0;0;Activa;0;0;0;1;2781,189804;7;584,1678919;4089,174098;0;1C;1C;1C;1C;1;63937,22203;0;319,6861797;0;0;1;1;388;0;1;0;0;0;0;0;0;0;0
Horas-Trabajo;Viernes;1;Nuevo;Web;Mujer;41;Casado;Canelones;Sin Convenio;Otros;140,5821916;Con deudas;-2;43,93;Activa;4;0;38;1;2781,189804;7;584,1678919;4089,174098;0;1C;1C;1C;1C;1;1018,355823;1394,187272;12,04486951;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Viernes;0;Nuevo;Web;Mujer;56;Viudo;DptoSuroeste;Sin Convenio;JubiladosYPensionistas;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;1390,594902;8;272,2536247;2178,028536;0;2A;Otros;1C;1C;1;30025,95226;1326,233535;200,041712;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Viernes;0;Nuevo;Web;Mujer;25;Soltero;DptoNoroeste;Sin Convenio;ServiciosVarios;-0,099659301;Sin deudas;0;106,89;Activa;0;0;0;1;927,063268;9;172,1627331;1549,465734;1;4;Otros;1C;1C;3;2984,946722;179,7946502;924,1963249;0;0;2;1;4;0;3;0;0;0;0;0;0;0;0
Horas-Trabajo;Viernes;0;Nuevo;Web;Hombre;65;Casado;Sin Identificar;Sin Convenio;JubiladosYPensionistas;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;10;466,3875706;4663,874524;0;1C;1C;1C;1C;1;29931,73018;1921,802155;159,2555635;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Viernes;1;Nuevo;Web;Hombre;43;Casado;DptoSuroeste;Sin Convenio;AgroYLimpieza;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;1854,126536;8;359,6636556;2877,310041;0;1C;1C;1C;1C;1;24767,74442;16,14712447;124,3979846;0;0;8;1;266;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Viernes;1;Nuevo;WhatsappBotTelefonoSMS;Hombre;34;Casado;Sin Identificar;Sin Convenio;Otros;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;927,063268;13;145,5852314;1892,608932;0;0;NoTiene;0;NoTiene;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Miércoles;1;Nuevo;Web;Hombre;35;Casado;Sin Identificar;Sin Convenio;PublicosYOngs;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;1854,126536;11;297,3083526;3270,39182;0;1C;1C;1C;1C;1;61445,67924;0;307,228767;0;0;2;1;98;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Jueves;0;Nuevo;Web;Hombre;47;Viudo;DptoEste1;Alianza;Transporte;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;11;441,3664249;4855,030335;0;5;Otros;3;Otros;5;24238,74822;4770,667577;4786,369711;0;8846,475741;4;1;1;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Miércoles;1;Nuevo;Web;Mujer;55;Casado;Sin Identificar;Sin Convenio;Otros;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;9;496,3825713;4467,443724;0;5;Otros;5;Otros;6;0;0;0;0;1375,76189;1;1;607;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Miércoles;1;Nuevo;Web;Mujer;72;Casado;DptoSuroeste;Sin Convenio;ServiciosVarios;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;10;466,3875706;4663,874524;0;5;Otros;3;Otros;4;17716,19528;0;2938,06745;0;684,3905517;4;1;181;0;0;0;0;0;0;0;0;0;0
Horas-Casa;Miércoles;1;Nuevo;Web;Mujer;35;Soltero;DptoNoroeste;Sin Convenio;Salud;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;1854,126536;11;297,3083526;3270,39182;0;2B;Otros;1C;1C;2;116372,822;0;863,5385753;0;0;3;1;164;0;0;0;0;0;0;0;0;0;0
Horas-Casa;Miércoles;0;Nuevo;Web;Mujer;42;Casado;MVDNoroeste;Sin Convenio;AgroYLimpieza;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;1390,594902;9;253,2177068;2278,960232;0;5;Otros;5;Otros;6;0;0;3224,580989;5583,148143;2560,548746;2;0;0;0;0;0;0;0;0;0;0;0;0
Horas-Casa;Miércoles;0;Nuevo;Web;Mujer;47;Casado;Sin Identificar;Sin Convenio;Otros;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;10;466,3875706;4663,874524;0;0;NoTiene;0;NoTiene;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Horas-Casa;Miércoles;0;Nuevo;Web;Mujer;37;Casado;Sin Identificar;Sin Convenio;PublicosYOngs;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;1854,126536;11;297,3083526;3270,39182;0;5;Otros;3;Otros;5;0;805,8497457;136,9944568;0;1789,062918;2;1;1983;0;0;0;0;0;0;0;0;0;0
Horas-Casa;Miércoles;0;Nuevo;Web;Mujer;51;Casado;DptoEste1;Sin Convenio;Otros;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;7;584,1678919;4089,174098;0;5;Otros;3;Otros;4;11968,10867;1416,383485;2252,096256;0;1916,851637;3;0;0;0;0;0;0;0;0;0;0;0;0
Horas-Dormir;Jueves;1;Nuevo;Web;Mujer;37;Soltero;Sin Identificar;Sin Convenio;Otros;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;1390,594902;8;272,2536247;2178,028536;0;5;Otros;5;Otros;6;3945,917329;0;3810,255526;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Horas-Dormir;Jueves;1;Nuevo;Web;Hombre;28;Casado;Sin Identificar;Sin Convenio;ServiciosVarios;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;11;441,3664249;4855,030335;0;5;Otros;5;Otros;6;0;0;2468,695318;2468,695318;0;1;1;202;0;0;0;0;0;0;0;0;0;0
Horas-Dormir;Jueves;1;Nuevo;Web;Hombre;22;Casado;Sin Identificar;Alianza;ServiciosVarios;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;11;441,3664249;4855,030335;0;5;Otros;5;Otros;6;0;0;10701,76111;11935,85382;0;2;1;1;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Jueves;1;Nuevo;Web;Hombre;25;Casado;Sin Identificar;Sin Convenio;Otros;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;7;584,1678919;4089,174098;0;5;Otros;3;Otros;5;3267,311652;2179,185047;1840,751331;0;524,2705017;2;1;34;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Jueves;1;Nuevo;WhatsappBotTelefonoSMS;Mujer;33;Soltero;DptoCentroSur;Alianza;PublicosYOngs;1051,871478;Con deudas;35;108,67;Bloqueada;0;0;15;1;1390,594902;10;238,234805;2382,348645;0;5;Otros;3;Otros;4;71411,7044;605,094195;12036,44946;0;3096,97073;4;1;45;0;4;0;0;0;0;0;0;0;0
Horas-Trabajo;Jueves;1;Nuevo;Web;Hombre;61;Casado;Sin Identificar;Sin Convenio;JubiladosYPensionistas;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2317,65817;10;390,3366393;3903,367443;0;5;Otros;3;Otros;5;14917,65316;0;3497,881558;0;2300,468099;3;1;283;0;1;0;0;0;0;0;0;0;0
Horas-Trabajo;Jueves;0;Nuevo;Web;Hombre;37;Casado;Sin Identificar;Sin Convenio;Industria;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2317,65817;8;447,0737148;3576,589229;0;4;Otros;1C;1C;3;23237,01696;760,9798836;2651,361546;0;0;2;1;235;0;2;0;0;0;0;0;0;0;0
Horas-Trabajo;Jueves;0;Nuevo;Web;Hombre;25;Casado;Canelones;Sin Convenio;Transporte;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;927,063268;7;201,3854122;1409,697041;0;0;NoTiene;0;NoTiene;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Horas-Casa;Jueves;0;Nuevo;Web;Mujer;29;Casado;Sin Identificar;Sin Convenio;Otros;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2317,65817;11;369,3374171;4062,711077;0;5;Otros;3;Otros;5;16117,36574;6188,898235;6721,913261;0;3198,136509;4;1;217;0;0;0;0;0;0;0;0;0;0
Horas-Dormir;Viernes;0;Nuevo;Web;Mujer;48;Otros;DptoNoroeste;Sin Convenio;AgroYLimpieza;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;1854,126536;8;359,6636556;2877,310041;0;1C;1C;1C;1C;1;4291,387456;388,3213087;24,56254129;0;0;2;1;95;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Viernes;1;Nuevo;Web;Hombre;38;Casado;Sin Identificar;Sin Convenio;Otros;0;Sin deudas;0;0;Cancelada;0;0;0;1;1854,126536;11;297,3083526;3270,39182;0;5;Otros;3;Otros;5;2988,717552;251,6049709;539,0872904;0;203,397681;2;1;610;0;2;0;0;0;0;0;0;0;0
Horas-Trabajo;Viernes;1;Nuevo;Web;Hombre;38;Casado;Sin Identificar;Sin Convenio;AgroYLimpieza;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;10;466,3875706;4663,874524;0;0;NoTiene;0;NoTiene;0;0;0;0;0;0;0;1;15;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Jueves;1;Nuevo;Web;Hombre;27;Casado;DptoNoroeste;Sin Convenio;AgroYLimpieza;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;1854,126536;7;392,7766591;2749,43557;0;5;Otros;5;Otros;6;0;0;0;0;3036,143791;1;1;422;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Jueves;0;Nuevo;Web;Mujer;33;Otros;MVDNoroeste;Sin Convenio;Salud;-0,152965439;Sin deudas;0;2,22;Activa;0;0;0;1;2781,189804;10;466,3875706;4663,874524;0;5;Otros;5;Otros;6;2069,047613;0;67,14255719;0;4384,184171;2;1;320;0;0;0;0;0;0;0;0;0;0
